target,precursor_ids,doi,year,type
Ca2Al2SiO7,"746,671,983",10.1149/1.1566418,2003,train
CaTiO3,"759,983",10.1149/1.1576775,2003,train
Ca0.7Ti0.7Al0.3Bi0.3O3,"671,192,759,983",10.1149/1.1576775,2003,train
SrEu0.05Ce0.95O3,"226,412,300",10.1149/1.1574031,2003,train
Sr0.3333Ce0.3167Eu0.0167O1,"226,412,300",10.1149/1.1574031,2003,train
Ce0.15Y0.15Zr0.57Ti0.13O1.925,"865,991,759,3",10.1149/1.1584437,2003,train
Mg2Sn,"966,37",10.1149/1.1578477,2003,train
Nb5Si3,"514,292",10.1149/1.1591757,2003,train
Li4SiO4,"1005,746",10.1149/1.1591757,2003,train
ZnGa2O4,"220,593",10.1149/1.1610001,2003,train
Zn0.25Ga0.5O1,"220,593",10.1149/1.1610001,2003,train
Sr0.3333Ce0.3167Eu0.0167O1,"226,412,300",10.1149/1.1614796,2003,train
Sr0.3333Ce0.3167Eu0.0167O1,"226,412,300",10.1149/1.1614796,2003,train
LiTi0.05Ni0.95O2,"759,566,1010",10.1149/1.1614797,2003,train
Y3GaO6,"593,865",10.1149/1.1595666,2003,train
Gd3GaO6,"593,729",10.1149/1.1595666,2003,train
Ta2Zn3O8,"114,220",10.1149/1.1601231,2003,train
LiCoPO4,"291,1005,253",10.1149/1.1619987,2003,train
Al6Si2O13,"671,746",10.1149/1.1606690,2003,train
LiCoO2,"291,1005",10.1149/1.1614269,2003,train
Sr0.02La2Zr1.98O7,"300,824,3",10.1149/1.1617308,2003,train
Ba0.01La1.99Zr2O7,"824,3,40",10.1149/1.1617308,2003,train
Ca0.04La1.96Zr2O7,"983,824,3",10.1149/1.1617308,2003,train
Sr0.02La1.98Zr2O7,"300,824,3",10.1149/1.1617308,2003,train
Ba0.01La2Zr1.99O7,"824,3,40",10.1149/1.1617308,2003,train
La2Zr2O7,"824,3",10.1149/1.1617308,2003,train
Ca0.01La2Zr1.99O7,"983,824,3",10.1149/1.1617308,2003,train
Li0.3Sr0.6Ti0.5B0.5O3,"759,1005,300,447",10.1149/1.1629102,2004,train
Ta0.25Zn0.375O1,"114,220",10.1149/1.1639024,2004,train
LiMn2O4,"567,1005",10.1149/1.1634274,2004,train
LiMn1.8Cu0.2O4,"818,567,1005",10.1149/1.1634274,2004,train
Li1.1Mn1.9O4,"567,1005",10.1149/1.1634274,2004,train
Li1.1Mn1.7Cu0.2O4,"818,567,1005",10.1149/1.1634274,2004,train
LiMn2O4,"567,1005",10.1149/1.1634274,2004,train
LiMn1.8Ga0.2O4,"593,567,1005",10.1149/1.1634274,2004,train
Li1.1Mn1.9O4,"567,1005",10.1149/1.1634274,2004,train
Li1.1Mn1.7Ga0.2O4,"593,567,1005",10.1149/1.1634274,2004,train
LiMn2O4,"567,1005",10.1149/1.1634274,2004,train
LiTi0.2Mn1.8O4,"567,759,1005",10.1149/1.1634274,2004,train
Li1.1Mn1.9O4,"567,1005",10.1149/1.1634274,2004,train
Li1.1Ti0.2Mn1.7O4,"567,759,1005",10.1149/1.1634274,2004,train
LiMn2O4,"567,1005",10.1149/1.1634274,2004,train
LiMn1.8Co0.2O4,"291,567,1005",10.1149/1.1634274,2004,train
Li1.1Mn1.9O4,"567,1005",10.1149/1.1634274,2004,train
Li1.1Mn1.7Co0.2O4,"291,567,1005",10.1149/1.1634274,2004,train
LiMn2O4,"567,1005",10.1149/1.1634274,2004,train
Li1.2Mn1.8O4,"567,1005",10.1149/1.1634274,2004,train
Li1.1Mn1.9O4,"567,1005",10.1149/1.1634274,2004,train
Li1.3Mn1.7O4,"567,1005",10.1149/1.1634274,2004,train
LiMn2O4,"567,1005",10.1149/1.1634274,2004,train
LiMn1.8Fe0.2O4,"567,1005,973",10.1149/1.1634274,2004,train
Li1.1Mn1.9O4,"567,1005",10.1149/1.1634274,2004,train
Li1.1Mn1.7Fe0.2O4,"567,1005,973",10.1149/1.1634274,2004,train
LiMn2O4,"567,1005",10.1149/1.1634274,2004,train
LiMn1.8Ni0.2O4,"567,152,1005",10.1149/1.1634274,2004,train
Li1.1Mn1.9O4,"567,1005",10.1149/1.1634274,2004,train
Li1.1Mn1.7Ni0.2O4,"567,152,1005",10.1149/1.1634274,2004,train
LiMn2O4,"567,1005",10.1149/1.1634274,2004,train
LiMn1.8Al0.2O4,"671,567,1005",10.1149/1.1634274,2004,train
Li1.1Mn1.9O4,"567,1005",10.1149/1.1634274,2004,train
Li1.1Mn1.7Al0.2O4,"671,567,1005",10.1149/1.1634274,2004,train
Li0.25Mn0.5O1,"567,1005",10.1149/1.1634274,2004,train
Li0.25Mn0.45Cu0.05O1,"818,567,1005",10.1149/1.1634274,2004,train
Li0.25Mn0.5O1,"567,1005",10.1149/1.1634274,2004,train
